,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
117,0,1,1,2,1,7,7,1,6,7,6,8,0,8,2,8,18
118,6,8,9,7,10,6,8,5,3,6,5,8,13,9,5,8,7
119,4,9,4,4,2,11,4,4,5,12,3,8,2,7,6,12,14
120,2,3,3,4,2,8,7,5,8,4,6,8,0,8,8,8,2
121,9,14,8,8,5,7,4,4,8,9,5,9,3,8,9,9,14
122,3,6,5,4,1,8,8,4,2,6,14,8,3,10,0,8,9
123,5,10,5,8,6,6,8,9,5,6,5,7,2,8,5,11,6
124,7,9,5,13,5,7,8,5,3,11,7,7,3,9,11,6,0
125,4,9,5,7,5,5,8,6,4,8,7,9,3,8,7,10,1
126,8,9,8,6,6,2,12,2,2,10,10,8,7,11,1,7,19
127,3,10,5,7,2,7,7,0,9,14,6,8,0,8,1,8,18
128,3,7,3,5,2,1,12,4,5,12,11,7,0,8,1,6,4
129,5,8,6,10,8,7,9,5,5,7,6,7,4,9,9,7,4
130,4,9,5,7,2,10,6,2,8,14,3,8,0,7,0,8,25
131,5,9,5,7,2,3,12,4,4,10,12,7,3,10,1,8,9
132,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,7
133,9,13,10,8,6,11,11,7,3,4,7,9,9,13,3,6,7
134,4,8,4,6,4,7,7,7,4,10,6,8,3,8,3,6,13
135,1,3,3,1,1,8,8,2,5,14,5,8,1,7,0,8,25
136,3,8,4,6,2,3,6,6,11,7,7,14,0,8,7,7,12
137,6,9,8,5,4,9,3,3,2,9,3,9,8,2,1,9,7
138,9,13,10,7,6,4,9,4,6,10,10,11,5,8,4,6,11
139,5,9,7,6,6,5,10,5,5,10,8,3,1,10,3,7,1
140,5,10,7,8,4,10,3,2,3,8,1,7,2,7,3,8,10
141,2,5,3,3,2,6,7,5,5,9,7,10,2,9,4,9,23
142,5,9,5,4,3,10,7,4,5,7,9,5,4,11,2,7,9
143,2,2,3,3,2,8,7,3,8,6,6,7,2,8,5,7,16
144,1,1,2,1,0,7,4,2,0,7,2,8,2,7,1,8,10
145,6,10,8,8,5,8,6,3,9,12,4,9,3,6,8,9,0
146,4,9,5,6,5,7,6,7,6,6,8,10,2,11,9,7,2
147,8,9,11,7,8,10,6,2,5,9,3,6,10,8,3,9,7
148,4,10,4,8,4,7,8,3,12,9,6,8,0,8,7,7,0
149,4,8,5,6,3,7,7,12,1,7,9,8,8,6,0,8,7
150,12,13,11,7,5,8,11,3,3,5,10,7,8,12,1,6,19
151,7,11,7,8,5,5,10,0,8,11,9,6,1,9,3,4,21
152,2,7,3,5,2,3,7,6,10,7,6,14,0,8,7,8,12
153,1,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8,18
154,5,9,5,4,3,5,9,3,6,9,8,9,5,7,3,7,3
155,4,9,5,7,3,6,8,7,7,7,10,9,3,9,1,8,20
156,4,7,4,4,1,7,7,5,4,7,6,8,3,8,4,8,16
157,3,3,4,2,1,4,12,3,2,10,11,7,2,11,1,8,9
158,5,9,6,4,4,7,9,2,3,7,8,6,8,11,2,7,19
159,3,4,5,3,3,10,6,3,7,10,3,6,2,8,3,9,8
160,4,2,5,4,4,7,8,4,6,7,5,7,3,7,4,8,6
161,3,5,5,4,2,8,7,3,7,10,6,7,1,9,5,8,2
162,7,10,6,5,3,7,8,2,7,11,6,6,2,9,5,6,4
163,5,7,6,6,6,8,6,5,4,7,5,8,7,9,6,3,5
164,3,5,5,8,3,11,5,3,5,10,2,7,2,7,5,11,0
165,3,5,4,7,2,7,7,4,14,10,6,8,0,8,8,8,0
166,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,18
167,8,12,6,9,5,7,11,3,3,13,5,4,3,9,9,9,25
168,2,3,3,4,3,8,8,5,2,8,8,9,2,9,5,8,14
169,5,10,7,8,4,5,13,5,4,13,8,3,2,10,2,5,4
170,2,7,2,5,1,13,2,7,5,14,2,11,0,7,0,8,25
171,3,7,4,5,4,8,8,7,2,7,4,6,4,6,8,8,6
172,4,8,5,6,3,7,8,4,8,11,7,7,2,8,5,6,2
173,3,5,4,4,3,7,7,6,6,7,6,8,3,8,3,8,3
174,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,24
175,6,9,5,4,3,10,4,4,7,11,3,10,3,7,7,11,14
176,1,3,2,2,1,9,2,2,1,8,2,8,1,6,1,8,10
177,3,6,4,4,1,5,11,2,2,8,12,8,1,11,0,8,17
178,3,8,3,6,2,5,9,10,5,8,6,5,2,9,4,8,1
179,2,6,3,4,2,8,12,2,8,5,11,9,1,11,1,8,21
180,4,6,5,4,5,7,7,4,3,6,8,10,5,11,3,8,22
181,5,9,5,6,2,7,8,15,0,7,5,8,3,8,0,8,3
182,2,5,3,4,2,6,7,6,6,10,7,11,2,9,4,9,23
183,4,9,6,7,4,6,9,6,5,7,7,8,6,9,2,6,5
184,4,8,5,6,5,8,8,3,8,7,7,7,0,8,11,8,0
185,5,8,6,10,8,9,9,2,3,6,9,6,9,11,7,5,1
186,2,3,4,2,1,7,7,2,9,11,6,8,1,8,5,7,0
187,2,1,2,1,1,4,7,5,8,7,6,13,0,8,7,9,12
188,2,4,4,2,2,8,7,3,5,10,4,7,2,7,3,10,6
189,3,5,5,3,3,7,8,2,8,11,7,9,2,9,4,8,12
190,3,5,5,4,3,8,7,2,7,11,5,8,2,9,5,10,12
191,7,9,7,11,8,7,10,4,4,7,10,11,5,11,10,9,14
192,8,15,7,9,3,6,10,3,8,13,6,6,2,8,5,4,21
193,7,12,6,6,3,7,8,2,7,11,6,6,2,9,6,5,4
194,5,11,6,8,6,6,7,9,7,6,5,5,2,8,3,7,8
195,0,0,1,1,0,12,4,5,3,12,4,11,0,7,0,8,25
196,4,7,6,9,7,9,10,7,4,7,7,6,5,11,6,3,17
197,4,8,5,6,4,6,8,3,6,10,7,8,2,8,5,6,2
198,4,10,5,8,3,7,6,9,8,6,4,7,3,8,4,8,13
199,5,8,7,6,8,8,10,5,3,7,7,8,7,9,4,9,13
200,2,7,3,5,1,7,7,3,13,9,6,8,0,8,8,8,0
201,9,15,8,8,6,8,6,3,7,10,5,7,6,8,8,5,8
202,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8,18
203,5,8,8,6,4,10,7,3,5,10,2,4,5,9,1,7,5
204,3,6,3,4,3,8,8,12,1,7,5,8,3,8,0,8,3
205,6,10,8,7,5,4,8,7,8,9,11,11,3,9,1,8,20
206,3,6,4,4,4,8,6,5,2,7,7,10,6,9,4,7,22
207,8,10,8,8,7,5,7,5,8,8,6,9,8,8,6,1,20
208,9,13,6,7,4,5,8,6,4,10,8,9,5,10,5,8,13
209,3,7,5,5,5,5,7,3,6,7,6,12,2,10,8,6,12
210,6,6,8,4,5,10,6,2,5,9,4,7,8,6,2,8,7
211,3,7,6,5,2,9,10,2,7,3,12,8,2,11,2,9,17
212,3,9,4,7,3,6,8,8,7,10,7,12,2,10,4,10,22
213,5,9,5,5,3,6,7,4,5,9,7,5,3,10,5,4,17
214,2,4,5,3,2,7,8,2,9,11,7,6,1,8,5,7,0
215,1,4,2,2,1,8,7,2,5,14,6,9,1,7,0,7,25
216,2,4,3,2,2,8,8,3,5,10,6,6,2,8,5,9,24
217,2,1,3,2,1,6,8,7,7,8,7,13,1,9,4,10,22
218,4,10,5,8,3,8,7,6,9,4,6,8,0,8,9,8,2
219,3,3,4,4,1,1,15,5,3,12,9,4,0,8,2,6,4
220,6,10,4,5,3,6,8,6,5,9,7,9,5,10,5,8,13
221,6,14,5,8,3,6,10,2,6,11,7,6,2,9,5,4,21
222,1,1,1,1,0,4,6,6,2,7,6,10,3,8,2,10,11
223,3,7,4,5,5,6,8,3,5,6,7,11,4,11,8,8,12
224,8,14,7,8,5,10,6,3,5,10,4,6,4,8,7,10,4
225,5,10,5,7,4,4,11,1,2,8,10,7,3,10,1,8,9
226,5,9,5,4,3,12,3,3,4,10,3,8,3,9,5,12,14
227,7,11,7,8,4,3,10,2,7,10,12,6,2,11,3,5,17
228,3,3,4,2,1,4,10,2,7,10,10,5,2,12,3,4,17
229,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,13
230,2,2,3,3,2,7,8,5,4,7,7,6,5,9,2,5,5
231,4,9,6,6,4,10,2,1,2,8,3,9,5,5,3,7,10
232,2,5,4,4,2,6,10,2,6,13,7,6,1,9,2,7,4
233,4,8,6,6,4,7,8,6,6,6,5,8,4,6,7,9,6
234,3,5,4,7,1,9,14,0,6,5,11,8,0,8,0,8,21
235,7,8,10,6,6,9,6,2,5,9,6,8,8,6,2,8,7
236,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,8
237,5,8,8,6,4,6,12,7,2,11,5,2,1,10,4,9,1
238,5,5,7,8,3,7,7,4,15,9,6,8,0,8,9,8,0
239,6,9,5,5,3,7,7,3,5,9,7,6,3,10,4,5,17
240,4,5,5,4,3,6,11,2,8,11,9,5,3,10,4,4,21
241,9,12,8,7,7,10,7,4,6,10,3,6,7,4,8,8,24
242,2,1,3,2,1,8,2,2,1,7,2,8,2,7,2,7,10
243,4,9,6,7,6,8,7,8,4,7,6,8,3,8,8,4,10
244,7,7,7,5,4,3,11,3,3,10,10,8,7,10,2,6,19
245,3,5,4,8,6,8,9,3,1,8,7,6,4,10,5,8,1
246,4,4,7,3,4,7,5,3,4,10,8,9,7,5,2,8,7
247,4,9,6,6,5,6,8,8,5,6,5,12,5,8,7,4,20
248,3,1,3,3,2,7,7,5,8,7,7,8,2,8,6,9,12
249,4,6,4,4,2,7,7,14,1,5,6,8,6,8,0,8,5
250,4,9,7,7,3,5,12,3,4,8,12,9,2,10,1,8,9
251,4,9,5,7,4,5,10,4,5,10,9,4,4,10,4,7,1
252,7,13,6,7,4,9,8,4,5,13,4,4,4,10,6,6,1
253,7,13,6,7,3,7,11,5,5,8,11,5,4,11,4,8,9
254,4,6,5,4,3,7,6,6,6,10,6,11,2,10,4,10,23
255,2,7,3,5,1,12,2,9,4,13,5,13,1,6,0,8,25
256,2,6,4,4,2,10,3,1,2,8,3,9,2,6,2,8,10
257,6,11,7,8,7,8,6,11,1,7,8,8,9,4,1,8,7
258,3,4,4,2,1,5,13,3,6,12,9,3,1,10,1,5,21
259,4,5,4,6,4,8,6,7,4,9,8,9,3,9,6,8,14
260,5,9,7,6,4,8,9,2,6,14,5,5,2,9,3,8,4
261,2,11,3,8,4,8,7,0,7,7,6,8,0,8,3,7,18
262,6,10,8,8,5,6,9,5,7,6,9,10,6,10,1,7,20
263,2,5,3,8,1,12,3,10,3,13,6,13,1,6,0,8,25
264,3,5,6,3,2,7,8,3,7,11,8,7,1,9,4,6,2
265,5,11,6,8,6,6,6,6,5,6,5,8,5,7,4,10,15
266,3,6,2,9,2,9,8,3,3,12,4,5,2,8,5,10,25
267,5,10,6,8,8,8,8,5,3,8,5,7,5,9,12,8,2
268,2,6,4,4,2,8,12,2,2,5,10,9,2,11,0,9,9
269,4,10,5,8,4,6,7,6,8,5,7,12,1,7,4,9,22
270,4,8,5,6,4,8,7,8,6,7,7,10,3,7,4,7,13
271,5,7,6,8,6,9,8,6,2,4,8,10,3,9,7,10,14
272,8,13,9,7,6,5,9,2,9,12,8,8,6,5,8,2,0
273,2,6,2,4,2,3,6,6,10,7,7,14,0,8,7,8,12
274,3,2,4,4,2,6,8,8,8,9,8,12,2,10,4,9,22
275,6,9,9,8,8,8,8,3,5,7,7,8,5,8,4,5,10
276,4,8,5,6,3,6,9,6,6,5,9,10,3,9,1,8,20
277,7,11,10,8,6,12,7,3,5,10,0,3,7,11,2,9,5
278,6,9,9,7,6,10,5,3,5,9,3,6,8,6,2,9,7
279,4,6,5,4,6,8,10,5,4,8,5,6,4,9,8,7,2
280,4,3,4,4,3,7,8,5,5,7,6,6,6,9,3,6,5
281,2,1,2,1,2,7,7,5,6,7,6,8,2,8,5,10,12
282,3,7,4,5,3,5,11,5,4,11,8,4,1,10,4,7,1
283,1,0,2,1,0,7,9,1,2,6,12,8,1,10,0,8,17
284,3,10,4,7,2,7,6,8,8,6,6,11,2,8,5,11,23
285,6,10,8,8,5,8,6,2,9,12,4,11,3,7,8,9,0
286,2,6,3,4,2,8,6,0,7,13,6,9,0,7,2,8,18
287,2,1,3,2,2,7,8,4,5,6,5,7,2,6,5,8,6
288,3,7,4,5,3,6,8,5,10,7,7,10,2,9,8,8,0
289,3,1,4,3,2,7,12,4,6,7,11,8,2,11,1,8,21
290,4,9,6,7,4,8,5,2,9,11,4,10,2,7,7,9,0
291,4,9,6,6,2,7,6,7,9,7,5,11,1,8,5,10,23
292,3,6,4,4,4,7,8,4,6,8,8,6,5,9,3,7,4
293,2,3,4,2,2,6,7,2,6,10,8,11,3,8,2,8,11
294,2,4,3,3,2,6,6,5,4,8,7,10,2,8,4,10,23
295,4,7,5,5,2,7,6,7,9,6,5,10,1,8,6,11,23
296,7,8,7,6,5,4,11,3,3,9,9,7,7,11,2,6,19
297,1,3,2,2,1,7,7,5,8,6,6,8,2,8,6,8,0
298,7,10,10,8,7,5,6,1,7,9,8,11,3,8,3,8,11
299,3,2,5,4,2,8,2,2,2,7,2,8,2,7,2,7,10
300,4,8,5,6,6,9,9,5,4,8,4,6,4,9,9,7,2
301,7,10,7,8,7,4,11,2,2,9,8,7,7,12,2,6,19
302,2,3,3,5,1,0,1,5,6,0,0,7,0,8,0,8,15
303,3,6,5,4,4,7,8,4,5,9,6,5,2,8,6,6,24
304,6,11,8,8,8,6,8,8,4,7,5,7,3,7,7,10,3
305,4,7,6,5,4,7,8,3,6,10,7,8,3,8,3,8,3
306,2,8,3,6,2,8,7,0,7,13,6,8,0,8,1,8,18
307,8,10,8,5,5,8,6,3,5,10,6,7,7,11,5,8,3
308,5,11,6,8,3,5,8,8,8,8,8,14,2,9,4,9,22
309,3,3,4,4,1,5,8,6,9,6,7,11,1,7,4,9,22
310,5,8,6,7,6,6,9,5,7,8,8,8,4,13,9,6,21
311,3,1,4,3,3,8,6,6,4,7,7,8,7,5,1,7,7
312,2,1,3,2,2,7,7,5,5,6,5,6,5,7,3,8,6
313,7,9,7,4,3,7,8,3,7,9,6,8,6,8,3,7,11
314,3,1,5,3,3,7,11,2,2,7,9,8,7,11,0,8,19
315,4,5,4,4,2,6,11,2,7,11,9,4,1,11,2,4,21
316,6,8,6,6,4,4,13,5,5,11,9,4,2,12,1,5,21
317,3,8,4,6,2,7,7,0,6,13,6,8,0,8,1,8,18
318,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,15
319,4,9,5,7,5,8,6,7,7,6,6,6,2,8,7,10,24
320,6,11,7,8,5,7,7,1,7,7,6,8,0,8,4,8,18
321,5,9,5,4,2,7,7,3,6,9,8,9,6,11,3,7,11
322,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,20
323,4,6,4,4,2,2,12,3,3,11,11,8,2,11,1,8,9
324,1,0,2,1,1,8,7,6,3,6,6,9,2,8,3,8,14
325,4,4,5,6,3,7,5,7,8,6,5,8,2,8,6,11,23
326,4,4,6,6,2,8,7,8,8,7,6,9,3,8,4,8,13
327,2,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,0
328,3,4,5,6,2,7,5,7,8,6,5,11,1,8,6,11,23
329,3,6,5,4,2,7,10,2,7,6,12,9,2,11,2,8,17
330,5,10,7,7,8,8,5,8,4,8,6,8,3,9,8,3,10
331,2,3,4,1,2,8,6,3,4,9,6,7,6,5,1,7,7
332,9,11,7,6,4,8,7,5,5,10,3,8,6,6,6,11,6
333,4,8,5,6,5,8,8,6,7,7,6,6,2,8,7,10,24
334,4,8,6,6,4,7,10,2,3,7,9,8,8,11,1,8,19
335,4,11,4,8,5,3,9,5,10,7,6,14,0,8,6,8,12
336,4,6,4,4,2,3,12,5,4,11,12,7,3,10,1,8,9
337,0,0,1,0,0,3,11,4,2,11,8,6,0,8,2,8,4
338,3,6,4,4,2,7,7,7,4,9,6,8,3,8,3,8,13
339,4,5,5,4,4,8,4,4,4,9,4,10,3,6,6,6,13
340,5,11,8,8,13,8,5,6,3,7,6,8,14,10,4,9,19
341,3,3,5,1,2,9,6,3,5,10,4,8,3,8,2,9,3
342,2,3,2,1,1,7,7,5,5,7,6,9,2,9,4,9,23
343,3,10,4,7,1,0,1,5,6,0,0,7,0,8,0,8,15
344,5,10,7,8,6,6,6,6,4,7,6,9,5,8,7,10,1
345,3,2,3,3,2,8,8,7,5,8,5,7,2,8,8,8,2
346,3,7,5,5,5,8,8,7,4,6,6,8,2,8,6,5,10
347,5,9,6,6,5,5,8,9,7,7,7,6,2,8,3,8,8
348,4,8,6,6,4,6,8,7,7,11,7,5,3,8,4,8,8
349,3,6,5,4,2,7,9,1,6,14,5,6,0,7,0,7,25
350,4,8,5,7,4,6,7,4,6,7,6,8,3,9,8,10,15
351,13,15,13,8,7,3,8,6,6,4,2,13,9,11,2,8,7
352,5,10,8,8,8,8,11,2,3,6,8,8,8,10,1,8,19
353,5,8,7,6,3,5,8,5,1,7,8,8,8,9,0,8,19
354,5,11,6,8,8,7,8,4,5,6,7,9,7,7,8,7,21
355,5,10,8,7,4,8,10,1,8,5,12,8,1,11,2,8,17
356,1,0,2,0,0,7,8,3,0,7,8,8,5,9,0,8,19
357,5,11,6,8,7,8,7,5,5,10,5,5,3,8,3,8,8
358,5,9,7,7,6,9,6,2,7,11,4,9,3,8,5,11,12
359,2,1,3,2,2,5,7,4,7,7,6,11,3,8,4,9,11
360,4,7,5,5,3,7,7,8,5,8,7,10,3,8,3,7,13
361,5,10,7,7,9,8,8,3,4,6,6,9,10,10,7,7,11
362,5,8,6,7,6,7,4,5,4,7,4,9,5,4,7,6,14
363,2,0,2,1,1,8,6,6,5,6,5,9,1,8,5,10,23
364,6,10,6,5,4,9,6,4,6,10,5,8,3,8,9,9,14
365,6,8,6,6,4,4,9,1,8,10,10,6,0,10,3,4,17
366,2,1,2,2,1,7,8,7,6,8,7,11,2,9,3,10,22
367,6,10,8,8,7,9,6,2,7,11,4,9,5,7,6,11,12
368,2,3,3,2,1,8,6,3,6,14,6,10,0,7,0,8,25
369,3,5,6,4,3,5,7,2,8,11,9,11,4,7,4,7,11
370,6,10,8,8,11,7,6,4,5,7,7,8,11,9,7,10,20
371,2,2,3,3,2,8,7,5,5,6,6,5,2,8,7,9,24
372,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,11
373,2,2,3,4,2,6,8,7,7,8,8,13,1,9,4,10,22
374,8,11,11,8,7,4,11,3,4,10,10,8,6,8,1,7,5
375,4,7,4,5,3,6,11,5,5,11,8,4,3,12,2,4,21
376,4,6,4,4,2,7,7,14,2,5,6,8,6,8,0,8,5
377,5,6,5,4,4,5,11,3,2,9,8,7,6,12,2,7,19
378,6,9,5,4,3,11,3,4,5,11,3,10,3,8,5,13,14
379,9,14,7,8,5,6,8,5,7,10,6,8,6,6,7,9,24
380,2,1,2,2,1,8,11,3,5,7,10,7,2,11,1,7,21
381,2,3,3,1,1,7,9,2,5,13,6,5,1,9,2,8,4
382,6,13,5,7,3,8,7,3,7,11,5,7,2,9,5,6,21
383,4,9,6,7,5,8,2,3,1,7,2,8,5,8,6,7,10
