@relation letter-weka.filters.unsupervised.attribute.RandomProjection-N10-R10-DSparse1-weka.filters.unsupervised.attribute.RandomProjection-N16-R10-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
-0,-36,51,69,-63,-69,-24,15,3,126,-57,30,-63,9,-9,-12,Y
15,-24,66,57,-63,-75,-39,36,-15,96,-54,48,-96,-63,-66,-15,D
-24,-3,75,147,-117,-123,-90,15,-3,117,-39,78,-129,-60,-51,-39,E
-3,-15,69,90,-90,-81,-42,36,-15,93,-93,72,-87,-75,-63,3,N
27,-6,72,120,-96,-102,-84,21,0,99,-39,72,-96,-111,-48,0,A
-9,-18,39,54,-57,-54,-27,24,-24,54,-48,48,-84,-63,-60,-21,D
24,-15,51,105,-114,-96,-75,6,-6,45,-51,84,-96,-126,-75,-21,Z
27,-27,30,6,-33,-57,9,9,-15,105,-54,-6,-69,-9,-24,6,N
12,-15,66,138,-96,-96,-84,24,-12,99,-45,81,-99,-96,-33,-6,X
12,-18,63,120,-120,-129,-66,-9,15,159,-69,48,-90,-18,-24,-18,F
-36,3,42,99,-69,-54,-36,30,-30,45,-66,69,-81,-72,-36,6,N
-75,39,48,138,-48,-75,-105,21,-21,99,39,60,-99,-78,-63,-69,L
3,-21,45,48,-69,-78,-15,9,-6,114,-69,24,-78,-21,-42,-9,N
3,-39,63,24,-39,-48,-9,45,-12,99,-63,33,-72,-15,-57,-18,Z
24,-36,33,81,-93,-69,-30,-3,3,63,-69,54,-57,-63,-18,6,Y
33,-36,30,-72,42,3,39,60,-57,48,-36,-15,-75,-30,-66,0,I
-15,3,54,165,-156,-156,-84,-36,24,168,-72,57,-96,-18,-15,-24,W
12,-30,18,-33,-3,-27,27,27,-45,63,-48,-6,-81,-27,-63,-15,U
-3,-18,63,120,-105,-84,-63,27,-12,66,-72,90,-93,-99,-54,-6,O
15,-42,42,0,-15,-30,18,42,-30,93,-72,12,-63,-6,-33,6,T
18,-12,39,69,-87,-90,-51,-9,6,81,-30,39,-81,-72,-57,-27,O
42,-3,57,108,-123,-156,-93,-21,0,150,-33,42,-132,-81,-72,-42,P
45,-45,42,-30,6,-36,12,36,-24,111,-30,-15,-72,-9,-42,-9,C
27,-27,57,60,-54,-81,-48,24,-15,117,-24,33,-102,-66,-54,-24,G
9,3,51,123,-147,-147,-84,-27,9,93,-45,63,-129,-84,-69,-39,B
-12,-6,48,60,-66,-84,-42,9,-6,96,-24,30,-99,-36,-60,-39,K
6,-15,33,99,-117,-126,-45,-42,24,159,-54,18,-78,-3,-12,-24,W
15,-30,24,9,-18,-24,18,42,-60,30,-72,27,-90,-57,-36,21,V
12,-9,30,27,-60,-78,0,3,-24,87,-69,9,-96,-27,-39,6,W
-15,21,69,210,-177,-174,-141,-30,24,117,-18,96,-138,-102,-48,-48,H
-39,-21,105,195,-126,-114,-117,45,6,138,-54,120,-108,-57,-45,-45,Z
42,-45,72,6,-15,-45,-9,60,-21,117,-57,21,-75,-30,-51,3,J
42,-39,51,-15,-12,-45,12,39,-21,108,-54,-3,-75,-15,-39,9,F
3,0,54,159,-123,-120,-102,-3,-6,96,-33,84,-111,-114,-45,-24,D
-0,-27,72,72,-75,-81,-45,33,-3,111,-54,54,-93,-51,-66,-27,S
-12,-30,102,213,-150,-123,-117,27,27,153,-75,123,-81,-72,-18,-15,T
27,-12,48,111,-99,-105,-75,6,-21,75,-36,66,-120,-111,-51,-15,O
-15,-24,63,99,-84,-72,-57,36,-18,63,-54,81,-99,-72,-63,-30,Z
6,-6,60,138,-108,-105,-105,15,-15,63,-15,93,-123,-141,-78,-42,B
27,-39,27,-12,-30,-45,12,15,-21,81,-54,3,-69,-24,-54,-15,F
21,15,51,162,-198,-198,-105,-72,48,150,-54,54,-117,-66,-45,-33,M
21,-36,42,6,-3,-21,21,60,-57,54,-72,21,-90,-30,-18,33,T
-9,-6,57,153,-123,-99,-84,6,3,72,-57,93,-84,-93,-33,-9,O
-9,-6,45,42,-45,-69,-30,21,-21,84,-24,24,-102,-39,-60,-30,K
0,-36,72,48,-51,-63,-27,45,-9,114,-57,42,-84,-21,-57,-24,Z
21,-48,42,-12,-6,-21,27,48,-33,93,-78,9,-57,-6,-33,12,T
-6,-3,45,117,-105,-114,-51,-3,-18,126,-75,48,-108,-42,-24,-3,W
15,0,36,54,-63,-72,-42,-3,6,63,-15,27,-69,-63,-42,-12,A
39,-12,18,-30,-21,-48,0,15,-42,24,-21,3,-105,-93,-93,-18,Q
51,-21,90,219,-210,-213,-183,-45,57,198,-15,105,-123,-129,-84,-87,Z
39,-21,42,60,-99,-105,-51,-9,-3,90,-51,42,-96,-84,-78,-30,H
-12,12,51,153,-159,-150,-93,-39,30,117,-48,66,-99,-60,-45,-36,R
30,-36,60,24,6,-18,-12,78,-54,63,-48,39,-84,-60,-33,21,I
30,-12,54,27,-51,-84,-30,18,-12,90,-24,15,-111,-51,-60,-15,R
-21,-3,45,132,-96,-93,-60,9,-21,102,-63,66,-96,-63,-24,-6,U
51,-33,9,27,-30,-48,-21,9,-48,48,-18,21,-96,-111,-45,-6,U
6,-24,75,132,-102,-102,-81,21,6,114,-36,75,-102,-75,-36,-21,C
15,-9,51,120,-93,-96,-81,12,-18,81,-30,72,-108,-120,-54,-18,O
0,-18,93,198,-138,-123,-126,24,15,111,-36,117,-108,-105,-33,-24,E
3,-12,90,174,-147,-138,-108,12,18,132,-60,99,-111,-90,-48,-21,D
3,-21,42,84,-66,-75,-45,6,-3,117,-36,36,-69,-39,-24,-18,U
21,-18,66,42,-69,-87,-33,24,-3,99,-48,33,-102,-54,-69,-15,R
-6,-15,51,48,-54,-66,-33,30,-24,69,-36,42,-105,-60,-72,-30,E
12,-15,78,156,-117,-135,-111,6,9,153,-15,72,-123,-84,-45,-42,G
-3,3,105,159,-147,-165,-108,12,21,156,-42,78,-153,-69,-63,-33,B
33,6,63,99,-78,-93,-72,21,-9,84,-33,57,-96,-117,-45,15,A
9,-39,30,-42,3,-27,39,36,-39,87,-57,-15,-81,12,-51,-12,Y
24,-21,33,21,-39,-57,-18,24,-39,69,-51,27,-90,-66,-69,-15,Y
24,-3,57,138,-102,-111,-102,9,-15,90,-18,78,-117,-138,-57,-21,O
0,-9,84,162,-126,-138,-114,9,12,150,-21,81,-126,-96,-60,-45,G
12,9,69,159,-141,-144,-111,-18,30,114,-21,72,-105,-84,-36,-24,A
33,-42,45,0,-18,-48,-3,30,-18,114,-36,3,-75,-27,-48,-15,C
39,-12,36,69,-108,-117,-63,-27,9,99,-36,36,-90,-81,-75,-39,H
-3,0,66,177,-162,-150,-108,-18,18,123,-63,90,-105,-72,-42,-30,R
24,-21,42,87,-93,-90,-54,-3,-0,81,-42,51,-84,-78,-42,-15,J
60,-21,-12,15,-45,-51,-9,-15,-45,21,-36,15,-81,-126,-48,9,M
27,-24,48,66,-48,-72,-30,30,-36,99,-51,33,-105,-51,-18,12,V
15,-15,54,18,-48,-69,-15,27,-15,75,-42,21,-102,-45,-66,-12,R
3,-27,48,60,-39,-54,-18,45,-48,90,-66,42,-102,-51,-33,6,T
-3,6,69,180,-180,-180,-129,-33,24,129,-30,87,-144,-93,-75,-66,J
0,-27,69,60,-66,-72,-33,36,-6,102,-57,48,-90,-45,-60,-18,S
12,18,60,180,-174,-183,-123,-39,15,129,-33,75,-147,-105,-54,-36,G
12,-27,57,15,-39,-54,-9,42,-24,78,-57,30,-93,-48,-72,-12,D
9,-18,24,-27,-21,-36,6,24,-36,27,-30,12,-93,-69,-99,-33,G
18,3,84,195,-180,-183,-153,-24,33,141,-18,99,-135,-120,-78,-63,Z
-42,-0,69,210,-129,-111,-126,18,-9,99,-30,120,-111,-117,-45,-42,D
21,-6,36,3,-15,-42,-12,24,-18,57,-15,6,-72,-48,-48,-3,A
33,-45,21,-96,45,12,75,57,-60,36,-63,-30,-72,9,-42,21,T
12,-18,30,-12,-21,-36,6,30,-36,33,-36,15,-93,-66,-75,-12,G
-9,-15,69,24,-18,-45,-18,54,-15,93,-30,24,-84,-18,-54,-15,L
27,-6,24,144,-159,-135,-93,-57,27,87,-45,69,-72,-105,-42,-30,W
6,-30,51,-15,-0,-30,9,54,-36,81,-45,9,-84,-9,-60,-15,I
-27,30,30,156,-180,-174,-90,-69,24,126,-57,54,-114,-57,-57,-48,M
30,-24,93,105,-111,-114,-75,33,6,96,-51,78,-126,-99,-69,-12,Q
-21,-15,45,69,-66,-57,-48,30,-27,36,-36,69,-96,-87,-87,-45,S
-30,3,99,270,-213,-183,-168,-18,51,138,-33,138,-126,-105,-36,-51,Q
48,-42,3,-18,-18,-33,30,9,-45,48,-54,-6,-81,-51,-24,18,V
-6,15,75,174,-123,-138,-129,12,-12,96,-3,93,-153,-129,-66,-42,R
42,-27,81,186,-168,-174,-153,-21,30,177,-24,96,-114,-114,-78,-75,Z
18,0,66,132,-117,-138,-102,-6,6,117,-9,60,-132,-87,-54,-39,P
9,-3,39,96,-108,-132,-45,-36,18,159,-45,9,-96,3,-3,-12,W
9,-36,117,141,-84,-111,-84,57,9,201,-54,69,-105,-18,-15,-9,I
45,-39,57,39,-21,-66,-27,30,-12,144,-21,3,-81,0,0,0,F
-3,3,72,183,-162,-165,-135,-18,15,138,-30,93,-129,-96,-75,-66,F
24,-36,114,126,-78,-102,-84,63,0,177,-54,75,-105,-60,-39,-6,J
24,-30,48,75,-57,-84,-36,15,-18,135,-42,24,-96,-27,-9,-3,V
-12,12,45,162,-171,-150,-99,-42,24,93,-54,81,-102,-87,-57,-39,M
-12,0,21,147,-135,-90,-57,-9,-30,33,-102,99,-87,-144,-45,15,M
45,-27,54,78,-69,-84,-60,18,-12,102,-36,48,-87,-87,-45,-9,O
57,-45,63,-39,-0,-42,21,51,-18,114,-54,-12,-78,-9,-45,15,J
-21,-12,72,144,-78,-90,-102,27,-0,126,-0,75,-93,-66,-42,-51,E
33,0,48,120,-138,-141,-75,-39,33,114,-36,42,-96,-72,-24,-6,M
9,-6,57,186,-159,-156,-105,-42,42,153,-30,63,-96,-51,9,-18,K
9,-9,66,123,-105,-117,-75,6,3,117,-36,57,-114,-60,-30,-15,P
15,0,87,162,-129,-135,-114,12,15,126,-33,87,-114,-108,-51,-18,A
27,-24,48,21,-36,-63,-21,27,-21,87,-30,18,-96,-51,-57,-15,G
-0,-33,39,78,-81,-54,-15,27,-30,42,-96,69,-81,-72,-33,15,V
-21,-24,42,42,-54,-48,-18,30,-24,60,-60,48,-78,-42,-72,-33,X
45,-18,27,-60,9,-27,24,27,-27,51,-27,-21,-69,-42,-66,3,A
-9,-6,105,216,-183,-180,-147,-9,48,177,-33,105,-126,-78,-54,-57,Z
6,-12,51,126,-111,-102,-87,3,-6,69,-30,81,-105,-111,-63,-36,S
-33,18,63,189,-201,-183,-102,-48,39,147,-75,81,-120,-63,-54,-39,M
-39,-21,111,213,-132,-120,-129,48,6,147,-54,129,-111,-63,-42,-45,Z
63,-21,-3,33,-51,-63,-24,-15,-39,45,-30,18,-84,-123,-42,6,M
-27,-3,21,162,-153,-108,-51,-33,-0,66,-96,81,-81,-78,-3,12,W
-9,-27,90,186,-132,-129,-99,12,27,177,-60,84,-87,-15,6,-18,T
-15,-9,72,114,-60,-81,-87,36,-9,114,-0,63,-99,-63,-51,-45,E
30,-36,48,-12,18,-18,-0,66,-54,75,-36,15,-84,-48,-57,-3,I
3,-21,51,99,-90,-87,-42,6,3,102,-60,48,-78,-27,-9,-0,H
3,-21,48,108,-66,-78,-60,24,-30,105,-36,57,-102,-75,-30,-15,U
15,-21,39,57,-60,-57,-30,21,-21,51,-48,48,-81,-81,-48,-3,X
45,-36,18,-60,6,-33,45,18,-33,81,-45,-36,-78,-3,-36,9,V
-9,-15,30,75,-93,-75,-9,-0,-15,69,-99,45,-75,-33,-21,15,W
-3,-18,69,60,-75,-81,-36,33,-9,93,-60,51,-102,-57,-75,-21,D
-9,-6,42,57,-78,-90,-42,0,-6,90,-33,33,-99,-48,-75,-45,R
6,-27,63,63,-72,-78,-39,27,-6,99,-51,48,-93,-54,-63,-24,S
-6,-27,78,144,-123,-102,-72,18,18,111,-72,87,-81,-51,-24,-9,F
12,-15,30,102,-117,-96,-60,-21,6,81,-66,63,-60,-81,-54,-24,N
15,-12,90,111,-108,-132,-96,24,0,144,-33,69,-135,-96,-99,-51,Z
-48,-27,96,162,-111,-105,-105,42,3,150,-45,105,-105,-54,-78,-75,Z
30,-36,78,78,-12,-36,-48,87,-54,90,-48,66,-93,-78,-24,21,I
21,-15,102,192,-177,-171,-129,0,33,147,-57,105,-129,-90,-51,-30,J
57,-30,30,-15,-33,-63,-9,12,-27,69,-30,3,-96,-69,-75,-18,Q
39,-30,66,102,-81,-96,-60,21,-6,138,-57,51,-87,-63,-21,6,F
87,-54,87,27,-18,-54,-45,75,-30,117,-39,45,-93,-117,-72,9,J
36,-9,42,78,-99,-93,-63,0,-9,36,-39,63,-99,-120,-72,-15,R
9,-33,72,117,-96,-93,-69,24,3,123,-57,72,-84,-57,-39,-21,S
3,-15,42,57,-57,-66,-36,21,-24,72,-39,42,-93,-69,-60,-21,H
0,-3,39,111,-135,-120,-63,-24,6,75,-63,63,-99,-72,-57,-27,B
3,-15,90,141,-138,-129,-93,15,21,105,-48,90,-120,-90,-66,-30,Q
54,-24,48,-18,-15,-48,-6,33,-18,69,-27,3,-81,-57,-60,3,A
42,-36,30,-15,-3,-39,21,30,-39,87,-45,-12,-87,-18,-18,18,Y
15,-18,48,81,-51,-57,-57,39,-39,57,-33,66,-96,-114,-60,-12,P
-18,-33,48,39,-18,-24,6,66,-60,63,-81,45,-93,-27,-33,9,T
12,-9,30,45,-69,-84,-24,-3,-18,81,-45,21,-99,-51,-51,-15,C
75,-12,12,27,-18,-39,-39,21,-57,12,-3,33,-93,-186,-63,18,H
30,-27,54,30,-36,-69,-33,30,-21,108,-24,21,-99,-57,-63,-24,G
3,-12,39,105,-81,-81,-54,9,-21,96,-57,57,-81,-75,-33,-6,N
-15,-12,81,165,-147,-129,-108,9,15,87,-42,105,-120,-84,-63,-48,Z
-3,-15,42,147,-159,-141,-81,-30,3,126,-90,78,-96,-60,-57,-42,P
-0,-36,60,33,-51,-57,-15,33,-3,102,-57,33,-72,-18,-57,-24,Z
-3,-15,42,6,-24,-51,-21,24,-15,72,-3,12,-90,-36,-78,-48,E
18,-18,60,24,-51,-72,-18,30,-12,84,-45,24,-102,-45,-63,-9,R
3,-27,66,57,-69,-84,-30,24,0,123,-54,33,-93,-18,-48,-21,E
0,-18,78,75,-87,-105,-51,24,3,129,-48,45,-114,-39,-69,-33,E
6,0,66,183,-177,-189,-135,-39,21,162,-24,78,-147,-87,-72,-75,Q
3,-33,102,225,-150,-123,-123,27,27,153,-75,126,-75,-75,3,-0,T
-3,-30,84,171,-135,-105,-87,21,21,111,-78,105,-75,-63,-15,-3,F
-18,6,69,192,-120,-114,-123,18,-12,90,-24,108,-117,-123,-42,-27,D
96,-57,42,-105,42,-9,39,60,-45,72,-36,-27,-75,-66,-87,9,J
24,-21,36,102,-102,-93,-69,-0,-21,87,-66,72,-81,-111,-72,-27,Y
18,-24,69,111,-96,-105,-72,12,9,129,-42,57,-90,-48,-33,-21,S
-24,-3,66,171,-102,-90,-108,33,-24,81,-36,111,-105,-132,-60,-30,O
9,6,45,108,-126,-135,-66,-21,-3,99,-51,48,-126,-72,-54,-21,O
-45,-30,93,147,-96,-78,-81,57,-6,108,-63,108,-93,-51,-57,-42,Z
-18,-12,87,258,-213,-162,-141,-18,48,126,-81,141,-87,-90,-15,-21,D
27,-45,84,18,-21,-60,-12,60,-12,150,-54,15,-87,9,-39,-6,I
-6,-9,66,114,-108,-99,-57,18,-3,108,-81,72,-90,-78,-54,-3,N
66,-18,18,-9,-3,-30,-12,33,-60,18,-21,18,-93,-138,-69,15,H
3,-9,54,141,-99,-123,-87,-9,3,153,-9,45,-114,-57,-15,-30,U
39,-21,24,27,-63,-72,-18,-3,-18,66,-51,21,-81,-69,-54,-6,C
-24,-9,45,201,-168,-132,-111,-39,36,135,-63,96,-51,-60,-21,-42,U
12,-15,63,165,-138,-129,-96,-9,15,117,-45,81,-102,-84,-21,-15,O
3,-6,60,102,-93,-105,-75,3,9,111,-24,51,-93,-54,-51,-36,E
-6,-6,45,99,-132,-120,-45,-24,18,105,-75,48,-90,-45,-48,-18,M
-27,-21,33,69,-57,-48,-9,33,-48,48,-75,54,-102,-54,-36,-0,Y
21,-18,75,102,-63,-96,-81,39,-24,132,-18,57,-123,-93,-60,-27,C
9,-30,48,102,-93,-72,-48,12,0,78,-69,69,-60,-63,-27,-3,Y
-3,-33,63,57,-69,-72,-27,27,-0,108,-60,42,-81,-21,-51,-24,Z
66,-54,66,-27,0,-42,12,54,-18,126,-54,-6,-72,-9,-36,15,J
21,-30,54,18,-54,-63,-9,30,-15,69,-60,30,-93,-42,-63,-9,B
18,-21,33,-24,-3,-42,-3,30,-36,75,-9,-3,-99,-57,-87,-36,C
-33,-6,75,195,-129,-102,-123,30,-12,63,-36,132,-114,-132,-63,-42,S
51,-33,33,-24,0,-45,6,21,-21,105,-21,-21,-72,-15,-33,-3,F
6,-21,54,108,-96,-87,-57,15,-9,84,-60,69,-90,-75,-39,-9,O
12,-36,90,180,-120,-99,-93,36,9,126,-81,108,-72,-63,3,12,T
36,-18,15,-63,18,-27,24,21,-39,54,-9,-30,-84,-39,-69,-15,K
-6,-6,54,93,-96,-102,-60,6,-6,93,-45,54,-105,-54,-60,-33,E
-6,-6,102,231,-195,-168,-138,3,30,120,-66,132,-132,-111,-42,-21,F
18,-15,60,99,-78,-105,-51,12,-9,135,-45,33,-108,-21,-3,3,V
15,-15,84,108,-120,-117,-69,24,3,87,-60,78,-129,-99,-72,-12,Q
-9,-27,66,162,-117,-117,-81,0,15,162,-51,66,-87,-18,6,-21,Y
-3,-45,27,-6,-21,-21,30,27,-21,84,-78,9,-42,12,-33,-6,Y
6,-12,42,84,-69,-72,-54,18,-24,66,-33,57,-96,-99,-57,-18,O
18,-33,9,-21,-18,-21,24,18,-39,48,-69,9,-51,-42,-60,-6,N
36,-12,63,117,-120,-123,-78,-9,21,114,-45,57,-90,-75,-33,-6,A
30,-39,69,27,-36,-66,-15,42,-12,135,-57,18,-84,-12,-39,-3,F
-9,3,54,138,-123,-114,-90,-3,-0,72,-33,81,-111,-102,-60,-33,R
3,-36,51,45,-24,-42,-9,57,-54,90,-69,39,-99,-33,-33,3,T
-3,0,48,141,-159,-153,-75,-45,33,138,-57,51,-102,-48,-33,-27,M
3,-24,30,15,-33,-39,-9,27,-33,51,-45,30,-78,-60,-72,-24,D
33,-3,57,78,-87,-105,-60,9,-9,84,-30,45,-120,-108,-63,-6,P
-69,-12,93,204,-150,-135,-132,15,21,159,-33,117,-114,-66,-84,-96,Z
6,-30,54,105,-96,-78,-48,15,0,87,-72,69,-69,-57,-27,-3,Y
-3,-42,48,57,-69,-60,-12,21,-6,108,-87,42,-57,-6,-33,-12,T
-9,0,84,237,-225,-183,-141,-33,51,111,-69,129,-114,-102,-42,-33,B
39,-18,30,-27,-21,-48,0,12,-12,66,-24,-6,-69,-51,-72,-15,A
39,-15,42,120,-114,-102,-90,-9,0,63,-33,78,-84,-132,-57,-21,A
15,-18,24,60,-87,-99,-21,-30,9,129,-54,6,-72,-6,-15,-12,W
36,-15,54,66,-90,-120,-60,-0,-12,126,-42,33,-120,-63,-75,-36,P
33,-18,24,36,-93,-111,-21,-42,21,120,-36,-6,-84,-18,-36,-24,M
21,-6,33,108,-93,-84,-75,-6,-6,63,-33,66,-69,-114,-48,-15,U
-15,-21,39,36,-60,-66,-27,15,-18,72,-36,36,-96,-48,-87,-54,E
48,-12,-12,-6,-12,-21,-3,9,-63,-9,-24,18,-78,-150,-69,9,N
27,-21,45,72,-57,-87,-36,12,-21,123,-36,21,-105,-42,-12,3,V
6,-24,60,114,-99,-102,-60,12,-6,123,-63,60,-96,-45,-30,-15,P
15,-30,90,171,-147,-117,-93,24,15,111,-93,114,-87,-96,-36,3,P
-3,-27,54,147,-117,-90,-60,18,-18,72,-84,93,-99,-84,-15,9,V
18,-15,60,60,-66,-93,-51,18,-9,111,-21,33,-114,-72,-69,-30,G
108,-54,60,6,-12,-54,-36,48,-30,105,-18,21,-90,-126,-63,9,J
45,-21,60,42,-57,-78,-36,24,-6,90,-39,30,-90,-66,-48,3,A
57,-3,21,129,-129,-135,-90,-45,-3,84,-21,51,-111,-132,-30,-9,M
21,-48,39,-15,-9,-18,33,45,-30,78,-81,9,-54,-3,-27,18,T
42,-27,42,57,-81,-99,-57,-3,-9,99,-24,36,-105,-90,-78,-42,Q
18,-24,93,120,-111,-123,-72,24,15,156,-63,63,-108,-48,-39,-9,F
-6,-21,105,168,-93,-102,-99,60,-12,138,-57,99,-111,-51,-18,-6,I
-24,-3,45,150,-108,-108,-75,-3,-12,126,-51,66,-99,-63,-24,-21,U
123,-57,54,-3,-6,-66,-48,39,-36,135,-0,9,-99,-138,-84,-15,J
21,-36,48,36,-57,-63,-15,18,-3,96,-54,27,-72,-36,-42,-9,S
-15,15,72,192,-144,-150,-126,-6,6,120,-21,90,-135,-96,-42,-36,L
39,-33,93,90,-84,-114,-81,42,-12,153,-48,63,-123,-78,-84,-36,J
15,3,72,177,-183,-171,-129,-27,27,102,-42,99,-129,-114,-75,-48,S
27,-24,30,-12,-3,-30,24,45,-60,51,-63,6,-99,-45,-36,27,V
-12,0,75,171,-99,-114,-117,24,-12,117,-6,87,-126,-96,-39,-36,C
24,-18,45,99,-81,-84,-69,12,-18,75,-30,63,-96,-108,-51,-18,O
24,3,42,108,-117,-132,-90,-18,-12,78,-12,57,-141,-123,-81,-45,Q
-3,-24,72,228,-198,-156,-120,-39,66,153,-72,105,-57,-36,15,-21,Z
-12,-15,66,96,-54,-75,-75,33,-9,108,-0,54,-96,-51,-51,-48,E
12,-24,36,12,-27,-60,-24,21,-30,102,-15,12,-99,-63,-87,-48,C
3,0,54,162,-150,-147,-99,-30,21,132,-45,69,-102,-69,-33,-30,A
-3,-12,39,87,-54,-66,-45,24,-36,81,-36,48,-99,-72,-33,-9,U
-33,9,87,189,-168,-144,-99,12,6,123,-99,114,-120,-108,-69,-12,N
-12,6,66,168,-165,-156,-96,-24,24,135,-63,78,-114,-75,-48,-27,M
12,-9,48,78,-108,-99,-51,0,-3,57,-60,60,-99,-81,-72,-21,S
-6,-21,21,33,-60,-54,-9,6,-24,66,-69,33,-66,-48,-66,-24,N
-0,-18,36,-3,-36,-51,-3,24,-27,48,-36,18,-99,-45,-84,-33,E
33,-30,57,51,-54,-72,-33,30,-18,96,-48,36,-93,-54,-42,-3,P
42,-45,3,-102,36,0,75,30,-54,45,-51,-45,-72,3,-45,9,Y
-12,-6,72,147,-87,-93,-99,39,-27,87,-21,93,-126,-120,-60,-30,G
-9,-6,108,210,-177,-180,-144,-6,48,189,-33,99,-126,-69,-54,-57,Z
33,-42,93,60,-54,-87,-42,48,3,159,-48,33,-96,-9,-33,-9,I
6,-15,30,6,-42,-51,-9,15,-21,42,-36,21,-84,-51,-75,-27,R
-30,-15,66,126,-96,-87,-75,27,-9,90,-45,84,-99,-66,-60,-42,Z
6,-33,18,-33,-3,-27,33,30,-51,69,-57,-6,-87,-21,-63,-15,T
-9,-12,105,180,-144,-150,-123,15,30,168,-36,93,-120,-63,-54,-48,Z
-18,-3,72,144,-93,-96,-96,30,-12,93,-18,87,-117,-111,-60,-33,G
-3,-24,42,66,-75,-72,-24,15,-18,84,-72,45,-84,-36,-42,-12,F
24,-30,42,-3,-30,-63,3,15,-9,117,-39,-9,-81,-0,-42,-15,K
30,-18,42,15,-39,-72,-24,15,-18,84,-15,9,-105,-54,-63,-24,G
-30,-0,66,129,-93,-93,-87,27,-15,75,-18,84,-123,-105,-75,-45,G
3,-12,33,87,-99,-105,-36,-21,3,126,-63,27,-81,-21,-21,-12,W
-15,-24,39,30,-39,-33,-12,39,-33,36,-54,48,-78,-57,-72,-24,Z
-12,9,81,198,-162,-186,-129,-36,48,204,-6,57,-129,-30,-15,-51,K
27,-9,39,21,-51,-78,-33,0,0,96,-15,9,-81,-60,-72,-30,A
12,-9,63,120,-129,-114,-81,6,0,69,-63,87,-105,-105,-75,-24,S
3,-3,54,129,-120,-135,-69,-18,9,159,-60,42,-99,-24,-18,-15,W
-72,36,45,105,-30,-60,-81,27,-24,87,33,45,-93,-57,-60,-60,L
