@relation 'letter-weka.filters.unsupervised.attribute.Remove-V-R13,11,7,14,12,15,9,8,10,6,16,3,5,1,4,2,17'

@attribute x-ege numeric
@attribute x2ybr numeric
@attribute y-bar numeric
@attribute xegvy numeric
@attribute xy2br numeric
@attribute y-ege numeric
@attribute y2bar numeric
@attribute x2bar numeric
@attribute xybar numeric
@attribute x-bar numeric
@attribute yegvx numeric
@attribute width numeric
@attribute onpix numeric
@attribute x-box numeric
@attribute high numeric
@attribute y-box numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
6,8,11,11,8,1,2,2,7,7,8,6,5,4,4,6,W
6,5,6,6,8,7,5,6,6,6,10,7,7,5,8,11,H
0,6,8,8,8,7,12,3,9,7,7,4,4,4,7,9,Z
1,4,6,7,9,1,6,2,12,9,7,2,1,1,3,4,J
1,7,11,9,4,1,4,3,13,5,7,4,1,2,3,4,F
4,6,7,8,5,3,5,8,7,7,7,7,6,5,8,10,D
1,5,7,9,7,5,8,3,11,8,8,5,2,3,4,5,S
2,5,8,9,6,5,9,3,13,7,5,7,3,8,8,13,T
4,8,9,7,7,4,4,8,7,8,9,5,5,4,7,9,O
1,7,7,8,7,7,9,5,7,8,8,3,3,2,4,6,Z
2,6,7,8,7,9,6,10,7,6,10,4,3,3,7,9,B
2,9,10,9,5,3,5,4,10,6,6,4,2,3,3,2,F
11,4,5,6,8,4,2,3,9,10,7,10,11,6,7,9,M
0,11,15,8,8,0,5,1,6,8,8,4,1,2,4,6,T
5,4,7,8,7,5,4,5,7,6,7,5,3,7,6,11,O
3,6,7,8,11,4,6,4,6,5,10,3,2,2,3,4,K
1,6,7,8,8,5,9,2,11,7,8,3,1,1,3,4,Z
1,9,13,11,4,1,6,3,12,5,5,4,1,3,3,4,T
8,9,10,11,8,1,3,2,6,7,8,7,6,4,8,10,W
2,2,2,6,8,3,2,2,5,6,6,5,2,3,3,5,A
2,6,8,9,9,5,1,6,5,8,10,3,2,2,3,2,Q
3,6,7,9,8,13,2,4,12,8,6,7,6,9,14,10,Z
3,7,10,10,7,8,2,3,8,9,6,6,5,4,7,5,H
7,5,6,10,8,7,4,3,7,6,6,8,8,5,6,9,R
0,6,7,8,8,0,4,4,7,7,8,0,0,1,4,7,I
2,5,8,6,8,3,4,4,9,7,10,4,3,2,3,4,R
6,8,9,10,10,1,6,4,5,7,7,7,5,5,7,10,U
3,12,6,9,8,0,4,12,7,7,8,4,3,4,5,7,U
2,7,8,8,11,5,8,6,11,6,9,5,2,7,5,10,C
3,6,7,8,8,3,5,8,7,8,8,6,4,5,7,9,O
1,6,8,8,10,8,8,6,10,6,8,5,3,7,7,13,E
4,3,6,6,6,4,7,4,11,10,8,7,5,5,7,10,D
3,8,8,9,9,2,7,5,9,4,5,6,3,5,5,7,U
2,3,7,7,6,3,5,3,11,9,9,5,3,3,3,4,R
2,6,7,8,9,5,7,5,7,7,10,3,2,2,3,4,E
2,8,7,9,11,5,7,6,10,6,9,6,4,6,8,10,G
3,3,6,8,8,4,6,2,11,10,12,7,6,5,6,9,B
3,0,7,7,8,2,0,3,7,8,8,7,2,4,7,10,A
1,11,10,11,8,2,6,1,8,6,8,3,1,1,2,1,Y
2,8,11,11,9,5,3,3,5,8,6,4,4,2,6,4,Y
3,5,6,8,8,3,4,9,7,8,8,6,5,5,8,10,O
2,6,6,11,11,5,8,7,11,7,9,7,5,7,7,10,G
3,2,3,5,7,4,2,1,6,8,7,7,5,5,7,9,A
1,9,9,10,10,3,7,5,12,5,7,4,1,3,3,4,C
4,6,8,10,6,8,1,4,8,7,5,6,6,4,7,5,H
7,6,7,10,8,8,4,3,7,7,6,6,8,4,8,11,R
3,7,6,7,7,4,5,5,8,8,6,6,4,4,5,7,J
8,9,7,6,8,0,1,12,6,8,8,5,3,4,5,7,M
2,11,11,10,9,1,3,2,6,7,8,5,3,3,7,9,V
2,4,8,6,7,3,5,3,9,8,10,4,2,2,2,3,R
2,11,12,12,8,1,6,4,7,7,8,5,3,3,6,8,T
5,7,9,7,8,10,5,4,7,8,10,7,7,5,9,8,J
1,5,7,9,7,4,8,3,11,8,8,5,2,3,3,5,S
8,6,7,8,10,5,2,5,6,9,10,8,9,6,9,11,G
2,4,6,8,6,2,6,4,10,9,9,3,2,2,2,3,D
2,5,6,8,9,5,5,6,6,8,10,2,1,2,1,0,G
3,3,5,5,6,8,4,4,8,10,8,7,7,5,10,8,Z
3,6,7,8,6,4,10,10,7,5,8,6,4,6,8,11,D
1,2,3,6,8,1,2,2,5,6,7,3,1,1,2,3,A
0,10,13,8,8,0,4,1,7,7,8,1,0,1,0,0,T
2,6,7,9,9,4,5,6,7,7,10,3,1,2,1,3,G
0,2,4,7,10,2,7,1,8,6,9,2,0,1,1,3,L
8,6,4,7,7,6,3,7,7,8,3,8,8,6,7,9,W
0,6,7,8,8,2,6,1,7,7,8,1,1,0,2,1,I
13,5,8,9,8,5,3,5,6,6,8,9,10,6,7,8,M
2,3,4,7,8,6,5,4,12,11,12,4,2,4,4,9,Q
0,6,7,8,8,8,8,5,4,8,8,3,2,2,4,3,S
3,5,4,8,9,9,8,4,9,7,9,8,5,9,8,14,Q
3,14,8,10,8,0,2,4,6,8,8,5,1,3,4,6,V
2,5,8,8,7,5,5,9,6,6,11,5,6,5,8,10,R
3,7,8,9,7,11,3,5,11,7,6,5,5,7,13,9,Z
3,7,8,8,9,7,4,6,8,5,10,5,5,4,7,9,P
7,10,12,11,8,1,2,2,10,2,7,8,6,8,6,9,W
0,6,7,8,8,1,9,0,14,7,8,5,2,3,7,10,I
0,11,12,8,7,1,5,4,12,1,6,3,2,3,5,7,F
4,6,9,9,7,9,5,5,7,7,7,6,8,5,10,8,F
0,3,6,7,8,0,8,2,14,10,8,5,2,4,7,9,J
3,12,12,10,7,1,4,4,10,3,8,5,2,5,7,9,V
8,5,8,9,8,8,5,6,7,7,6,8,9,6,6,9,M
9,7,11,13,9,3,3,7,4,11,6,10,6,9,8,13,M
3,6,7,8,8,3,4,7,10,7,6,4,4,4,6,8,O
1,5,8,7,8,0,5,2,14,8,8,3,1,1,1,3,J
0,7,6,8,14,7,11,6,7,3,7,4,2,3,6,8,E
8,3,3,2,9,1,2,3,9,9,9,8,4,6,5,9,M
5,10,9,8,11,4,6,4,10,4,6,10,6,9,7,13,K
1,8,10,10,3,3,5,5,10,5,7,7,6,5,6,9,P
2,1,3,7,7,3,3,2,8,10,8,7,4,5,8,10,A
2,7,7,9,10,4,5,5,9,6,9,3,2,2,3,5,G
4,9,7,11,5,2,5,4,7,10,7,5,3,5,4,9,V
2,6,7,8,7,5,8,3,6,8,7,3,2,2,3,2,X
2,2,4,7,8,1,0,2,7,7,8,2,0,1,1,1,A
3,4,6,6,9,8,9,3,12,8,9,8,5,6,8,10,Z
2,8,6,11,10,9,6,7,6,7,7,5,5,4,6,9,S
10,3,6,8,6,3,5,2,9,10,9,11,8,8,7,9,M
0,6,8,8,8,7,12,3,9,7,7,4,4,4,8,10,Z
8,9,7,6,8,0,1,12,7,7,8,5,3,4,6,8,M
8,10,11,12,7,1,3,3,5,8,6,11,5,12,7,13,W
1,9,10,9,6,3,8,0,11,5,4,7,5,7,8,11,T
0,6,7,8,14,7,10,6,7,3,8,3,2,2,5,7,E
0,6,7,8,8,0,4,4,7,7,8,0,0,1,4,3,I
5,8,9,7,9,3,6,3,9,5,7,5,3,5,4,9,H
3,10,8,9,9,1,7,7,7,6,8,5,3,4,7,9,U
3,6,7,8,8,4,4,5,7,7,8,4,1,4,4,7,X
2,11,12,11,7,1,2,3,10,4,8,4,1,3,2,3,V
8,8,9,11,6,2,3,2,7,7,7,6,4,5,4,9,W
2,3,6,8,6,3,7,3,10,10,9,5,3,3,3,4,D
3,5,8,7,7,4,6,4,7,7,8,5,4,4,4,2,R
1,6,7,9,7,5,7,3,10,8,8,5,2,3,4,5,S
2,6,8,9,6,5,7,2,11,7,6,6,3,7,5,10,F
7,5,6,9,8,6,4,5,7,8,3,6,6,5,6,7,N
2,2,5,7,7,5,5,3,10,11,11,5,3,3,8,5,Z
0,6,7,8,8,8,14,4,10,7,8,4,2,3,7,5,Z
0,6,7,8,8,0,4,4,7,7,8,0,0,1,7,10,I
3,5,11,9,4,9,3,3,13,7,9,6,5,8,9,12,J
2,8,8,9,9,5,2,5,8,8,8,3,3,2,4,3,Q
2,8,13,10,3,2,4,5,13,5,5,7,4,5,8,10,F
0,2,2,7,11,0,5,7,14,13,8,2,1,2,5,7,J
4,4,8,6,6,8,2,7,7,8,8,4,4,3,5,7,R
2,7,8,8,7,5,8,4,11,7,6,5,3,4,6,8,S
3,6,7,8,8,3,6,6,7,7,8,4,3,3,4,5,H
7,6,6,8,7,6,4,4,6,9,7,6,7,4,5,7,B
3,3,4,7,10,7,7,4,11,10,11,5,3,6,4,9,Q
1,2,2,6,8,1,1,2,8,9,8,2,1,1,2,3,A
1,12,11,11,8,0,2,2,8,5,8,4,1,3,4,6,Y
2,6,9,9,5,4,5,10,8,5,8,3,2,3,6,8,P
1,11,12,11,9,1,8,2,5,8,8,3,2,2,4,6,T
5,8,7,11,10,3,3,4,6,7,8,5,5,4,4,6,C
3,5,8,8,8,0,0,15,7,7,8,5,2,5,6,9,H
2,7,7,9,11,4,6,6,10,6,9,3,2,2,4,5,G
6,7,9,9,8,2,5,6,7,6,6,6,4,4,7,9,N
0,7,8,8,7,11,8,3,7,8,8,5,5,4,6,8,Z
9,9,9,11,6,7,3,2,6,9,5,6,8,5,10,8,P
1,6,7,8,8,5,9,2,11,7,7,4,1,2,2,3,Z
0,6,7,8,13,7,8,5,7,4,9,2,1,2,1,1,E
2,4,7,7,7,3,5,3,10,8,10,4,2,2,2,4,R
2,7,8,9,9,4,8,2,11,7,8,5,3,3,3,5,E
2,5,7,9,8,5,7,2,11,8,10,5,3,3,4,5,E
5,10,10,11,11,10,4,4,7,7,9,7,8,7,11,9,Q
2,6,10,8,6,5,8,3,13,6,4,7,3,8,9,15,T
2,6,8,9,6,6,7,2,11,7,5,6,3,7,6,12,F
2,5,7,8,5,3,7,9,6,6,7,6,6,5,8,11,D
0,4,4,7,11,0,3,5,12,12,8,1,0,0,1,0,J
5,7,10,11,6,6,4,7,7,9,3,6,7,4,9,7,Y
2,7,8,8,8,5,6,3,10,6,6,5,4,4,6,8,S
3,4,6,8,7,4,8,9,6,7,8,5,3,4,8,10,O
7,7,10,9,8,4,3,5,7,8,9,7,8,5,6,8,O
0,6,7,8,8,8,13,3,9,7,8,3,1,2,5,7,Z
6,5,6,8,7,8,7,3,10,8,5,8,6,9,8,15,D
0,6,7,8,8,1,7,0,13,7,8,2,1,1,3,4,I
5,2,7,9,4,1,5,3,10,10,7,8,4,5,6,8,N
3,5,8,8,8,0,1,12,7,8,8,3,3,3,4,6,H
3,11,8,9,11,1,8,7,9,4,8,8,5,6,7,10,U
6,7,6,9,10,4,2,5,7,8,7,4,4,3,4,6,C
8,6,7,8,9,6,8,5,8,5,1,8,7,8,8,10,U
5,8,8,10,9,5,4,6,10,5,8,6,4,9,7,13,O
2,6,7,10,12,8,6,3,7,5,6,5,5,3,5,7,E
8,4,6,6,7,2,5,2,9,10,8,8,5,6,4,6,M
2,12,10,11,8,2,7,2,3,9,9,6,2,3,5,7,Y
2,7,8,10,12,4,7,8,10,6,10,4,3,3,7,9,C
3,7,7,10,5,5,5,4,9,6,4,5,3,5,5,9,Y
1,7,8,8,6,5,9,2,11,7,7,5,2,2,3,4,Z
1,6,7,7,9,0,5,2,14,8,7,2,1,1,2,4,J
2,6,8,8,6,5,5,3,10,8,9,3,2,2,2,4,B
1,7,8,9,13,4,7,7,8,6,10,3,1,2,2,1,C
0,6,7,8,8,9,9,6,4,8,8,5,3,4,8,10,S
0,9,15,8,4,2,3,5,12,1,6,4,1,3,4,3,F
5,7,8,10,9,5,5,6,9,6,8,4,3,6,5,10,O
2,7,10,9,6,5,6,2,11,6,4,5,3,6,8,14,T
3,6,6,8,10,2,2,6,7,4,10,1,0,1,1,1,K
4,7,8,11,11,8,5,3,6,6,8,4,5,3,5,7,E
4,4,6,8,6,7,5,3,10,10,10,7,5,8,8,14,F
3,10,11,10,7,1,2,1,8,4,8,5,4,5,7,10,V
3,3,3,9,8,5,4,3,10,12,12,5,3,5,4,9,Q
2,12,10,11,6,3,7,2,10,3,5,7,4,7,8,11,Y
2,10,10,12,5,3,7,2,10,4,4,4,1,3,2,3,Y
3,6,7,8,8,3,6,8,7,7,8,5,3,4,5,7,O
5,7,8,9,6,2,4,5,7,7,5,3,2,2,3,2,N
5,3,2,5,9,3,2,1,8,10,7,6,4,4,6,9,A
1,7,10,9,6,2,6,2,13,6,7,4,2,2,4,5,F
4,5,8,6,8,7,6,6,6,7,9,6,4,4,6,8,R
0,11,14,8,8,0,6,0,5,9,8,4,1,3,7,5,T
8,6,6,6,8,2,5,2,9,9,8,10,6,7,6,8,M
2,6,7,8,5,3,6,6,7,7,7,3,2,2,3,2,D
1,5,12,10,2,4,2,7,11,6,9,8,4,5,6,8,P
0,6,7,8,8,9,15,4,9,7,8,7,3,5,8,5,Z
3,7,7,10,6,4,5,3,9,7,5,5,3,6,5,9,Y
3,9,11,10,5,4,8,2,11,6,4,5,3,4,4,5,T
7,3,7,4,6,8,6,4,10,10,8,8,7,9,7,12,B
2,2,2,7,8,2,1,2,7,8,7,3,1,2,2,1,A
3,6,7,8,8,8,4,8,7,8,4,6,6,4,7,9,A
7,10,11,10,8,2,3,3,10,3,6,7,4,7,5,7,W
4,7,9,10,6,5,1,3,8,8,8,4,6,3,8,5,P
7,8,5,5,9,2,4,3,10,7,8,7,4,4,3,4,M
5,5,8,8,12,7,5,8,6,6,4,6,5,4,6,9,U
2,7,7,8,8,6,8,5,7,7,9,3,2,3,3,1,E
6,6,7,8,8,0,1,14,5,7,8,4,2,4,4,6,N
2,12,12,10,9,1,4,3,8,5,8,7,3,4,7,9,V
4,9,10,10,4,4,5,4,10,5,7,5,4,4,7,9,P
4,4,8,10,4,6,5,4,13,9,6,6,4,7,7,13,P
4,11,11,11,5,4,5,5,8,7,8,6,3,7,7,13,V
2,6,6,10,11,4,6,6,10,7,10,5,3,4,4,6,G
1,5,2,6,13,0,4,9,13,12,8,3,1,2,5,7,J
2,3,3,6,9,2,2,1,8,10,8,4,2,2,4,6,A
9,8,6,4,8,1,1,11,7,8,8,7,7,6,8,11,M
1,9,13,10,3,1,6,3,12,5,5,4,1,3,2,4,T
3,8,6,9,9,6,4,7,9,8,8,4,4,4,6,5,Q
2,5,9,9,5,3,6,2,14,8,8,7,4,5,6,9,F
0,6,7,8,8,3,7,0,7,8,7,3,4,2,8,11,I
6,9,9,10,10,1,7,5,6,6,7,8,5,6,8,10,U
1,6,3,6,13,0,3,10,13,12,8,3,1,2,8,5,J
1,8,8,9,7,4,7,3,11,7,6,6,2,3,3,5,S
5,5,6,7,8,4,5,6,6,6,10,6,6,5,8,11,L
2,4,8,8,5,5,3,3,12,9,10,2,2,3,9,6,J
5,5,8,9,7,12,3,5,8,8,8,6,8,5,8,10,S
2,10,12,11,9,0,2,2,5,8,9,4,2,2,4,6,V
1,7,7,7,12,4,8,6,5,6,9,5,4,4,8,10,C
3,7,7,7,10,4,6,8,7,8,7,5,4,4,6,8,O
3,8,8,9,10,7,2,6,4,9,10,6,6,5,8,7,Q
6,8,9,5,8,8,9,2,12,5,2,9,6,8,7,13,Z
0,7,6,8,14,7,10,6,7,3,8,2,2,2,4,6,E
2,8,8,10,12,4,8,8,9,6,9,4,2,3,4,2,C
5,7,8,8,8,4,5,3,7,8,5,9,8,6,8,9,A
3,9,9,9,10,1,6,6,5,6,8,5,3,4,6,8,U
7,0,7,11,3,2,5,3,10,12,9,10,6,7,8,11,N
8,3,5,6,6,2,5,3,9,10,9,9,6,6,7,9,M
4,5,10,9,6,8,4,5,8,8,7,5,6,4,4,6,S
6,6,8,9,6,3,5,5,7,7,6,4,3,4,4,3,N
2,6,7,8,8,5,6,5,7,7,10,2,2,2,1,1,E
1,8,11,10,4,4,4,5,11,5,7,4,3,3,5,7,P
1,12,9,10,8,0,2,1,6,7,8,2,0,1,1,0,Y
2,6,6,8,11,5,8,8,6,7,11,4,2,3,7,10,G
3,4,6,7,11,8,9,2,12,8,9,8,5,6,8,10,Z
0,6,6,7,9,2,7,0,13,8,8,3,2,2,4,6,I
2,5,8,6,7,5,5,4,6,7,8,3,2,2,2,1,R
2,7,8,9,10,8,10,5,7,6,8,4,3,3,5,7,Z
2,11,12,11,8,1,6,4,7,7,8,4,2,3,3,1,T
2,4,5,7,10,7,9,2,11,8,9,6,4,4,7,9,Z
1,5,6,8,11,5,9,7,7,7,10,6,2,4,6,9,G
5,8,8,9,6,3,6,4,8,7,7,4,4,3,4,6,F
3,8,7,8,11,2,6,2,10,6,8,4,2,2,2,3,K
2,7,6,8,10,4,4,5,8,6,10,3,2,2,3,4,G
1,5,6,8,10,6,9,7,6,7,11,5,2,4,5,7,G
7,9,11,11,7,2,3,3,9,4,6,7,5,7,6,8,W
2,6,7,8,8,6,8,5,6,7,8,2,1,1,2,3,Z
3,8,6,8,11,3,7,1,9,5,8,10,7,7,8,10,K
2,2,2,7,8,2,2,2,7,8,7,5,2,3,4,2,A
4,4,9,9,6,9,4,5,8,9,7,5,6,4,6,8,S
7,8,11,12,7,2,2,2,9,4,6,7,7,7,8,10,W
0,0,1,8,7,0,6,5,0,0,8,3,1,2,5,3,L
2,6,8,8,5,6,5,4,9,7,6,5,4,3,4,6,B
3,5,8,7,7,7,4,8,7,6,10,8,8,6,8,11,H
3,7,8,8,8,3,6,3,10,7,8,6,4,4,5,7,H
0,6,7,8,8,1,7,0,13,8,8,3,2,2,6,8,I
7,6,6,11,7,5,5,3,10,8,8,8,5,8,5,10,H
2,8,8,9,14,4,8,8,8,5,9,6,3,5,8,11,C
1,7,8,7,11,4,9,6,6,5,9,4,1,3,4,3,C
4,8,9,13,8,9,7,5,8,6,6,6,6,5,7,8,T
7,7,6,5,8,1,4,6,7,8,7,4,3,3,3,1,M
5,5,7,7,6,3,5,5,6,7,8,3,2,2,2,1,R
6,6,8,8,8,3,7,3,9,7,7,7,3,7,4,9,K
7,9,11,11,8,0,2,2,7,7,8,5,3,3,3,1,W
1,9,11,11,4,2,7,2,11,6,4,4,2,4,4,5,T
2,9,13,12,4,1,5,5,11,4,5,6,4,6,6,8,T
0,6,7,8,8,1,6,0,13,7,8,4,2,3,6,8,I
0,1,0,8,5,0,6,6,0,1,8,3,1,3,4,6,L
2,6,6,8,6,7,7,7,6,8,10,5,5,4,7,9,B
0,6,7,8,8,4,7,1,7,7,8,7,5,6,8,11,I
6,8,7,11,9,3,6,3,9,7,7,5,2,5,4,9,K
3,10,8,9,9,2,7,5,10,5,6,5,2,4,2,3,U
2,11,12,11,8,1,3,3,11,2,8,4,2,4,4,6,V
2,6,7,8,9,3,3,6,6,8,8,2,1,1,1,0,Q
2,5,5,8,8,6,8,7,6,7,11,5,3,4,6,4,G
3,6,7,8,9,4,8,8,7,8,8,6,2,4,6,4,O
1,6,8,8,8,5,9,2,11,7,7,3,1,2,2,3,Z
1,5,5,8,11,6,8,7,6,7,11,5,2,3,6,4,G
2,12,10,11,9,2,7,2,6,7,8,5,2,3,4,6,Y
3,6,5,9,8,8,4,8,8,8,3,7,8,5,7,10,A
6,6,6,5,7,1,4,3,9,8,7,4,2,2,1,3,M
6,3,7,6,8,6,5,5,10,8,11,7,4,9,6,11,R
2,6,8,8,6,7,7,6,7,8,10,5,5,4,6,8,B
8,9,10,11,8,1,3,2,7,7,8,6,4,4,6,8,W
0,6,9,8,14,6,10,5,7,3,8,4,5,4,8,11,E
3,12,12,10,7,1,4,5,11,3,8,4,2,4,4,6,V
0,8,11,8,6,2,2,4,11,3,8,1,0,0,0,0,F
3,6,7,8,8,3,4,7,9,7,8,4,2,3,4,6,O
3,4,4,6,10,6,4,4,9,8,6,5,4,4,4,5,O
14,6,5,10,8,4,3,6,7,8,9,8,13,5,8,11,W
3,4,6,8,8,2,5,3,10,9,9,5,2,3,1,3,H
2,6,7,9,9,4,5,5,7,7,9,2,1,2,1,3,G
0,0,1,8,7,0,6,5,0,0,8,4,1,3,7,10,L
5,6,6,8,9,7,4,6,7,6,10,7,6,5,8,10,P
2,5,8,8,7,8,5,7,8,8,8,3,2,3,3,2,S
2,6,8,8,8,6,4,7,6,8,5,5,5,3,5,7,A
2,7,8,8,6,3,7,9,7,5,8,6,5,5,6,9,D
3,7,8,8,5,4,7,7,11,6,8,6,4,4,6,8,D
0,5,9,7,6,0,6,1,14,7,7,5,2,3,4,6,J
3,6,7,9,8,8,6,4,7,6,10,5,4,4,7,8,L
9,2,8,11,13,2,6,6,4,3,8,13,7,13,8,15,M
8,8,11,10,8,1,3,2,6,8,8,8,8,5,8,10,W
8,8,8,9,8,0,1,5,7,5,8,7,3,5,6,8,W
7,7,8,7,9,8,5,4,6,7,7,6,8,5,8,11,T
1,12,10,11,8,2,8,1,5,8,8,8,4,5,7,10,Y
5,8,8,9,8,0,0,3,7,7,8,2,0,1,0,0,W
3,5,7,8,5,3,5,5,10,8,8,6,7,5,8,11,D
3,4,6,8,9,5,7,2,11,9,11,7,6,5,7,9,E
3,6,7,8,11,4,7,4,7,5,9,3,2,2,2,1,K
3,7,7,8,10,3,5,8,8,7,7,5,3,4,5,7,O
10,6,8,10,9,7,4,3,6,8,7,7,9,5,7,10,K
5,4,4,4,9,7,4,5,7,7,6,6,6,5,7,8,Q
1,5,6,8,9,5,5,6,6,8,10,2,1,2,1,0,G
3,5,6,8,8,9,6,4,10,9,9,6,4,6,5,10,Q
0,10,9,10,6,3,8,1,10,4,4,6,4,6,6,8,Y
2,7,8,9,11,3,6,7,8,7,10,2,1,2,2,1,C
5,4,6,7,9,6,7,2,11,9,11,8,7,6,8,10,E
0,6,6,7,10,0,6,3,14,8,8,3,1,2,2,3,J
4,9,7,7,11,4,8,2,11,5,7,6,3,3,4,5,K
11,7,6,9,8,7,5,4,7,7,10,8,11,6,8,10,U
2,6,7,8,5,7,5,5,6,8,9,3,2,2,3,2,B
4,7,7,8,10,4,7,2,10,6,8,8,5,5,8,11,K
1,8,8,9,13,4,7,7,8,6,10,3,2,2,4,2,C
6,10,11,8,8,1,4,3,10,4,7,11,7,8,8,11,N
3,8,11,12,4,2,5,5,11,6,4,4,3,4,5,7,T
6,6,7,8,8,0,2,14,5,7,8,4,2,4,4,6,N
6,8,11,12,7,2,2,3,9,5,7,5,4,5,4,6,W
3,3,3,8,10,5,5,4,11,11,13,5,3,6,4,9,Q
6,6,8,6,8,7,7,5,10,6,9,7,5,9,8,14,B
2,10,11,11,7,1,5,3,7,8,7,2,1,2,2,1,T
1,6,9,9,5,2,5,2,13,7,8,3,1,2,1,3,F
2,5,7,9,7,5,7,3,11,8,6,5,3,6,7,13,T
5,2,2,8,8,6,1,3,7,8,7,6,5,4,7,9,A
6,7,8,10,6,2,6,6,7,7,5,7,4,5,6,9,N
0,6,9,8,6,9,10,6,5,8,7,7,4,5,8,11,S
0,2,3,7,11,2,9,1,8,6,8,6,3,4,7,9,L
3,4,6,7,7,5,5,2,10,10,11,6,5,4,5,7,B
2,9,10,8,5,4,10,1,11,6,4,6,4,6,8,11,T
2,4,7,8,6,3,6,4,10,9,8,4,2,2,2,3,D
3,6,5,9,8,8,7,4,8,8,11,4,2,4,4,9,Q
